name,Ames,BBB,CL,CYP1A2-Inhibitor,CYP1A2-Substrate,CYP2C19-Inhibitor,CYP2C19-Substrate,CYP2C9-Inhibitor,CYP2C9-Substrate,CYP2D6-Inhibitor,CYP2D6-Substrate,CYP3A4-Inhibitor,CYP3A4-Substrate,Caco-2,F (20%),F (30%),Ghose,H-HT,HIA,LD50 of acute toxicity,Lipinski,LogD7.4,LogP,LogS,Oprea,PPB,Pgp-inhibitor,Pgp-substrate,SkinSen,T1/2,VD,Varma,Veber,druglikeness,hERG
DB00035,0.1359999997834107,0.07135898514374461,0.18230327656956707,0.08102007380022204,0.36966666666666664,0.23432473655865646,0.322,0.5653076293235104,0.3484247619047619,0.5232666666666667,0.47496952380952384,0.8390334171769235,0.468,-6.841897532148116,0.0772,0.14020000000000002,0.0,0.0,0.09486666666666667,879.5799769173904,0.25,1.1395446666666655,-4.132,-3.3038203960620014,1.0,46.18176665146668,0.9290633238554148,0.794741553393595,0.3456,1.3739220172819673,-1.324364215076953,0.0,0.0,0.6799999996766961,0.574
DB00091,0.1,0.043197603394840765,1.497953654951289,0.0971667252685951,0.464,0.17203306646983926,0.4208,0.0485178890441375,0.20784666666666665,0.3286666666666667,0.21994142857142857,0.744465854904279,0.794,-5.461983453466663,0.4692,0.6843999999999999,0.25,0.0,0.22178992063492067,981.537970409308,0.5,3.2985075000000013,3.2689999999999997,-4.239677023113347,0.6666666666666666,92.11296593901584,0.9559388344586432,0.6022433695892344,0.3958,2.0533647893453626,0.8763896557000557,0.2,0.0,0.7779999854774865,0.408
DB00114,0.27999999990476193,0.9456571498788995,1.1485280535702882,0.0603641349070357,0.19,0.06304419642377593,0.326,0.058145078819261044,0.5318036996336997,0.30556000000000005,0.3108095238095238,0.05404160184361058,0.148,-5.191281103454754,0.40099999999999997,0.38900000000000007,1.0,0.218,0.35226666666666673,311.70814763413426,1.0,-1.0998165238095265,0.517,-2.068034602305332,0.0,14.67282381552381,0.13894101850910065,0.018627340455612235,0.24180000000000001,1.1448637831405444,-0.6940888175949231,0.8,1.0,0.8479999900303351,0.2058
DB00115,0.19599999965475784,0.03156210006267001,,0.0813157133079964,0.32639999999999997,0.31592595289735526,0.31,0.6661337253783154,0.355810750915751,0.4363233333333333,0.3400533333333333,0.9039646026659413,0.272,,0.3182,0.37940000000000007,0.25,0.02,0.3819666666666667,,0.25,,2.722,,1.0,,0.8226813325828249,0.6954423419053232,0.343,,,0.0,0.0,0.45599999834366495,0.42043333333333327
DB00118,0.276,0.7802714035097164,0.8772383875591232,0.018514898965999723,0.121,0.031574490590898556,0.1,0.06466385588450982,0.35871095238095235,0.2501666666666667,0.2230033333333333,0.0612632039483432,0.156,-6.275540796723087,0.13480000000000003,0.1234,0.75,0.612,0.3323,1241.0991139862595,0.75,0.25638099999999975,-3.2569999999999997,-2.5353123940200013,1.0,27.93979286094286,0.11363524420566283,0.07019402732717032,0.28099999999999997,0.7928293163149214,-1.4698522474626636,0.4,0.5,0.9079999879748561,0.3496666666666667
DB00121,0.08799999600000799,0.9622807684580584,1.3409124028458512,0.01252483723263101,0.186,0.053154709450985674,0.364,0.02137789943460785,0.39150880952380956,0.1436966666666667,0.35796,0.010524855738755522,0.176,-5.204985057136662,0.6298,0.4694,1.0,0.318,0.4328833333333333,869.5356439673882,1.0,-0.9351649999999987,0.797,-2.6067734012733395,0.0,33.72243335533334,0.07953559054666742,0.04120835973370806,0.4081428571428571,0.9688633961052134,-0.6925091351136017,0.8,1.0,0.8699999884918022,0.11333333333333334
DB00122,0.032,0.42828724109945476,1.5991446511475815,0.0005791533053261059,0.444,0.0028934317651084797,0.266,0.0011231937256347892,0.3007642857142857,0.06094666666666667,0.5258766666666668,0.00040998033294850335,0.15,-4.7614707470171345,0.3362,0.5253999999999999,0.25,0.04,0.1994,1167.9082057940063,1.0,0.022968547619047694,-0.315,0.7191704929139993,0.0,9.803414285714284,0.010452639966312018,0.12473512219230655,0.580462380952381,1.5222847131247397,0.02452101676130588,0.8,1.0,0.9939999677397577,0.265
DB00123,0.4979999916666763,0.8220998619795826,1.1102412068040832,0.0051887856182789415,0.092,0.02385339098142469,0.082,0.0025383835056725845,0.3499443650793651,0.06153333333333334,0.4015566666666667,0.002079357616139381,0.008,-5.431791421321413,0.8295999999999999,0.6942,0.25,0.198,0.5891666666666666,2954.7267052207126,1.0,-1.650860333333341,-0.473,-0.39844200187766754,0.0,19.50916428971429,0.06953984244634388,0.022340724451221112,0.5432533333333334,1.3363232839265469,-0.5784582284613856,0.8,1.0,0.9019999744003799,0.02
DB00126,0.191999976000208,0.9622515604199126,0.9473447529122576,0.009607354634393021,0.312,0.01916669569596135,0.354,0.02026854938145859,0.40201666666666663,0.18058333333333332,0.23635333333333333,0.006905784487505334,0.14,-5.861821693255253,0.5084000000000001,0.5324000000000001,0.25,0.032,0.3359144444444445,4887.142939523185,1.0,-1.377095666666671,-1.4069999999999998,-0.20223956645146593,0.0,21.966347619047625,0.056828811214069214,0.06390268988938302,0.4202,0.824099110523324,-0.7294847433216247,0.6,1.0,0.8919999817228272,0.176
DB00130,0.28,0.9784076063120458,0.8684912716969301,0.0016908699151852791,0.014,0.008995066347910044,0.08933333333333335,0.0007018145483894268,0.28845,0.0461,0.30845,0.0015242481114163538,0.022,-5.8885587601376,0.6911999999999999,0.6898000000000001,0.0,0.186,0.5176000000000001,2725.1190363533647,1.0,-1.6578733333333422,-1.3359999999999999,-0.6168853084136184,0.0,23.077049998000003,0.07557506715647179,0.03271495235215127,0.3312,1.3920835008909034,-0.6377749147174153,0.8,1.0,0.955999971783713,0.0208
DB00132,0.108,0.8912660142279254,1.2026912467227207,0.47020606791365144,0.154,0.02136045509637697,0.196,0.03359012022754621,0.8831555555555557,0.14228333333333332,0.5835961904761905,0.005670120236095104,0.072,-4.729188182142141,0.568,0.396,0.75,0.098,0.8048666666666666,8855.01914754468,0.75,1.5502538333333282,5.6610000000000005,-4.781012390443988,0.3333333333333333,88.33269759904758,0.3065794848596904,0.04439298576962354,0.7343999999999999,1.727660995265013,-0.7895294567629086,0.6,0.5,0.8759999839491178,0.6081380952380951
DB00135,0.188,0.8559324984567118,1.9191940002028498,0.00763366503935141,0.016,0.019653643594502928,0.11,0.014244751142004665,0.4714533333333334,0.17395000000000002,0.5216371428571429,0.010897194794077395,0.184,-5.316460554586423,0.7438,0.6412,0.75,0.25,0.7077666666666667,1342.3151992000053,1.0,-1.8479800000000155,0.34700000000000003,-1.8170348609155533,0.0,50.080000119999944,0.02258965321438614,0.17501543032407813,0.2956,0.7293653787167728,-0.47334145721262716,0.8,1.0,0.823999981251619,0.1268
DB00136,0.09199998800003999,0.7640478368225353,0.8058207377958932,0.04861601400813627,0.246,0.09912572045135308,0.47333333333333333,0.1832503289738818,0.3120400793650794,0.35501666666666665,0.27142000000000005,0.2767135440832475,0.904,-5.089228187873342,0.6384,0.595,0.5,0.9,0.7823333333333333,3.466397357050083,0.75,4.170934999999996,5.705,-6.4107155959942865,1.0,97.426176984127,0.867980599751822,0.0964915485148173,0.3683199999999999,1.9687831298707812,-0.3468926689669407,1.0,1.0,0.9899999948113177,0.455
DB00137,0.138,0.8209569006710676,1.0562886063462262,0.0952646814644048,0.488,0.2969168289007178,0.602,0.24271288423347198,0.4458788245088245,0.44543333333333335,0.5043238095238095,0.29566854545460786,0.412,-5.1473081671788075,0.6135999999999999,0.4086,0.0,0.0,0.7697500000000002,242.00038385493517,0.5,4.369502999999988,10.402999999999999,-6.57028605299286,0.6666666666666666,82.50024285114284,0.6510146678188204,0.5826352018085788,0.6266,1.9124066081855415,-0.21548606632422784,0.8,1.0,0.8679999946142696,0.5478333333333333
